TaxonId,SwedishName,ScientificName,TLS_CITES,TLS_Bern,TLS_Bonn,TLS_FD1,TLS_Prio,TLS_Fridlyst,TLS_HD2,TLS_HD2P,TLS_HD4,TLS_HD5,TLS_IAS_Union_EU
201153,,Plebejus idas,,,,,,,,,,,
201164,,Zygaena filipendulae,,,,,,,,,,,
201188,,Laothoe populi,,,,,,,,,,,
201189,,Agrius convolvuli,,,,,,,,,,,
201220,,Ptilodon capucina,,,,,,,,,,,
201231,,Phalera bucephala,,,,,,,,,,,
201245,,Lymantria monacha,,,,,,,,,,,
201254,,Eilema lurideola,,,,,,,,,,,
201273,,Arctia caja,,,,,,,,,,,
205976,,Corvus corone cornix,,,,,,,Ja,,,,
205992,,Myotis daubentonii,,Ja,Ja,,,Ja,,,Ja,,
205995,,Pipistrellus pygmaeus,,Ja,Ja,,,Ja,,,Ja,,
205998,,Cnephaeus nilssonii,,Ja,Ja,,,Ja,,,Ja,,
206003,,Lepus europaeus,,,,,,,,,,,Ja
206017,,Myodes glareolus,,,,,,,,,,,
206026,,Vulpes vulpes,,,,,,,,,,,
206044,,Dama dama,,Ja,,,,,,,,,
206045,,Capreolus capreolus,,Ja,,,,,,,,,
206300,,Agapetus ochripes,,,,,,,,,,,
206353,,Polycentropus irroratus,,,,,,,,,,,
206359,,Hydropsyche pellucidula,,,,,,,,,,,
206361,,Hydropsyche siltalai,,,,,,,,,,,
206384,,Lepidostoma hirtum,,,,,,,,,,,
206508,,Oecetis testacea,,,,,,,,,,,
208245,,Bufo bufo,,Ja,,,,Ja,,,,,
208255,,Zootoca vivipara,,Ja,,,,Ja,,,,,
208262,,Calopteryx splendens,,,,,,,,,,,
208263,,Calopteryx virgo,,,,,,,,,,,
208266,,Lestes sponsa,,,,,,,,,,,
208270,,Pyrrhosoma nymphula,,,,,,,,,,,
208279,,Enallagma cyathigerum,,,,,,,,,,,
208287,,Aeshna grandis,,,,,,,,,,,
208289,,Aeshna cyanea,,,,,,,,,,,
208297,,Onychogomphus forcipatus,,,,,,,,,,,
208298,,Cordulegaster boltonii,,,,,,,,,,,
208311,,Libellula quadrimaculata,,,,,,,,,,,
208315,,Orthetrum coerulescens,,,,,,,,,,,
208317,,Sympetrum danae,,,,,,,,,,,
208319,,Sympetrum striolatum,,,,,,,,,,,
208320,,Sympetrum sanguineum,,,,,,,,,,,
213825,,Stigmella tityrella,,,,,,,,,,,
214065,,Parornix anglicella,,,,,,,,,,,
214126,,Scythropia crataegella,,,,,,,,,,,
214411,,Harpella forficella,,,,,,,,,,,
214458,,Coleophora juncicolella,,,,,,,,,,,
214780,,Dichomeris juniperella,,,,,,,,,,,
214815,,Cossus cossus,,,,,,,,,,,
215164,,Ancylis mitterbacheriana,,,,,,,,,,,
215295,,Emmelina monodactyla,,,,,,,,,,,
215314,,Endotricha flammealis,,,,,,,,,,,
215462,,Udea prunalis,,,,,,,,,,,
215581,,Colotois pennaria,,,,,,,,,,,
215584,,Phigalia pilosaria,,,,,,,,,,,
215590,,Biston betularia,,,,,,,,,,,
215591,,Agriopis leucophaearia,,,,,,,,,,,
215592,,Agriopis aurantiaria,,,,,,,,,,,
215593,,Agriopis marginaria,,,,,,,,,,,
215594,,Erannis defoliaria,,,,,,,,,,,
215595,,Peribatodes rhomboidaria,,,,,,,,,,,
215596,,Peribatodes secundaria,,,,,,,,,,,
215607,,Ectropis crepuscularia,,,,,,,,,,,
215639,,Jodis putata,,,,,,,,,,,
215668,,Idaea biselata,,,,,,,,,,,
215693,,Xanthorhoe spadicearia,,,,,,,,,,,
215721,,Cosmorhoe ocellata,,,,,,,,,,,
215724,,Eulithis populata,,,,,,,,,,,
215743,,Thera juniperata,,,,,,,,,,,
215774,,Operophtera brumata,,,,,,,,,,,
215775,,Operophtera fagata,,,,,,,,,,,
215931,,Rivula sericealis,,,,,,,,,,,
216031,,Enargia paleacea,,,,,,,,,,,
216039,,Cosmia trapezina,,,,,,,,,,,
216049,,Agrochola lota,,,,,,,,,,,
216056,,Conistra vaccinii,,,,,,,,,,,
216225,,Noctua pronuba,,,,,,,,,,,
218615,,Phylloneta sisyphia,,,,,,,,,,,
218805,,Neriene peltata,,,,,,,,,,,
218911,,Metellina mengei,,,,,,,,,,,
219021,,Dolomedes fimbriatus,,,,,,,,,,,
219070,,Anyphaena accentuata,,,,,,,,,,,
219181,,Diaea dorsata,,,,,,,,,,,
219182,,Misumena vatia,,,,,,,,,,,
219576,,Lysichiton americanus,,,,,,,,,,,Ja
219577,,Lysichiton camtschatcensis,,,,,,,,,,,Ja
219596,,Potamogeton polygonifolius,,,,,,,,,,,
219613,,Triglochin palustris,,,,,,,,,,,
219702,,Peucedanum palustre,,,,,,,,,,,
219733,,Phragmites australis,,,,,,,,,,,
219758,,Alnus glutinosa,,,,,,,,,,,
219841,,Iris versicolor,,,,,,,,,,,Ja
219872,,Ornithogalum umbellatum,,,,,,,,,,,Ja
219883,,Pseudotsuga menziesii,,,,,,,,,,,Ja
219909,,Achillea ptarmica,,,,,,,,,,,
219955,,Arnica montana,Ja,,,,,,,,,Ja,
220009,,Caltha palustris,,,,,,,,,,,
220018,,Campanula persicifolia,,,,,,,,,,,
220021,,Campanula rapunculoides,,,,,,,,,,,Ja
220023,,Campanula rotundifolia,,,,,,,,,,,
220028,,Carduus crispus,,,,,,,,,,,
220058,,Centaurea montana,,,,,,,,,,,Ja
220102,,Crepis paludosa,,,,,,,,,,,
220147,,Galinsoga quadriradiata,,,,,,,,,,,Ja
220148,,Galium mollugo subsp. erectum,,,,,,,,,,,
220205,,Hypochaeris radicata,,,,,,,,,,,
220227,,Scorzoneroides autumnalis,,,,,,,,,,,
220246,,Logfia minima,,,,,,,,,,,
220250,,Matteuccia struthiopteris,,,,,,,,,,,
220279,,Pilosella officinarum,,,,,,,,,,,
220286,,Pulmonaria affinis,,,,,,,,,,,Ja
220299,,Scorzonera humilis,,,,,,,,,,,
220307,,Jacobaea vulgaris,,,,,,,,,,,
220325,,Solidago canadensis,,,,,,,,,,,Ja
220345,,Tanacetum parthenium,,,,,,,,,,,
220346,,Tanacetum vulgare,,,,,,,,,,,
220450,,Calamagrostis arundinacea,,,,,,,,,,,
220585,,Rorippa palustris,,,,,,,,,,,
220686,,Blechnum spicant,,,,,,,,,,,
220765,,Dianthus deltoides,,,,,,,,,,,
220772,,Drosera intermedia,,,,,,,,,,,
220773,,Drosera rotundifolia,,,,,,,,,,,
220778,,Fagus sylvatica,,,,,,,,,,,
220782,,Reynoutria japonica,,,,,,,,,,,Ja
220785,,Fraxinus excelsior,,,,,,,,,,,
220811,,Lychnis flos-cuculi,,,,,,,,,,,
220825,,Molinia caerulea,,,,,,,,,,,
220832,,Myriophyllum alterniflorum,,,,,,,,,,,
220850,,Picea abies,,,,,,,,,,,
220912,,Saponaria officinalis,,,,,,,,,,,
220948,,Spergularia rubra,,,,,,,,,,,
220975,,Viscaria vulgaris,,,,,,,,,,,
220997,,Bellis perennis,,,,,,,,,,,
221046,,Succisa pratensis,,,,,,,,,,,
221092,,Erica tetralix,,,,,,,,,,,
221100,,Impatiens glandulifera,,,,,,,,,,,Ja
221102,,Impatiens parviflora,,,,,,,,,,,Ja
221111,,Lysimachia thyrsiflora,,,,,,,,,,,
221112,,Lysimachia vulgaris,,,,,,,,,,,
221154,,Lysimachia europaea,,,,,,,,,,,
221157,,Vaccinium myrtillus,,,,,,,,,,,
221158,,Vaccinium oxycoccos,,,,,,,,,,,
221160,,Vaccinium vitis-idaea,,,,,,,,,,,
221178,,Cardamine amara,,,,,,,,,,,
221186,,Comarum palustre,,,,,,,,,,,
221192,,Cytisus scoparius,,,,,,,,,,,
221222,,Lathyrus linifolius,,,,,,,,,,,
221248,,Lupinus polyphyllus,,,,,,,,,,,Ja
221304,,Securigera varia,,,,,,,,,,,Ja
221315,,Trifolium arvense,,,,,,,,,,,
221318,,Trifolium campestre,,,,,,,,,,,
221322,,Trifolium dubium,,,,,,,,,,,
221339,,Trifolium repens,,,,,,,,,,,
221394,,Betula pendula,,,,,,,,,,,
221395,,Betula pubescens,,,,,,,,,,,
221406,,Quercus robur,,,,,,,,,,,
221477,,Geranium macrorrhizum,,,,,,,,,,,Ja
221489,,Geranium sylvaticum,,,,,,,,,,,
221539,,Lobelia dortmanna,,,,,,,,,,,
221549,,Myosotis sylvatica,,,,,,,,,,,
221572,,Pulmonaria rubra,,,,,,,,,,,Ja
221573,,Pulmonaria saccharata,,,,,,,,,,,Ja
221577,,Sambucus racemosa,,,,,,,,,,,
221615,,Calluna vulgaris,,,,,,,,,,,
221626,,Digitalis purpurea,,,,,,,,,,,
221696,,Linaria repens,,,,,,,,,,,Ja
221704,,Melampyrum nemorosum,,,,,,,,,,,
221706,,Melampyrum sylvaticum,,,,,,,,,,,
221717,,Menyanthes trifoliata,Ja,,,,,,,,,,
221767,,Pinguicula vulgaris,,,,,,,,,,,
221774,,Plantago lanceolata,,,,,,,,,,,
221782,,Plantago uniflora,,,,,,,,,,,
